gene_id,Ht_1,Ht_2,Ht_3,St_1,St_2,St_3
ENSAPEG00000005487.1,15.1258,12.499,14.6351,16.4866,17.4021,18.2512
ENSAPEG00000005489.1,18.11531,19.05379,24.450989999999997,17.9657,15.047550000000001,17.28686
ENSAPEG00000005490.1,98.0639,102.073,93.6767,137.862,107.178,112.947
ENSAPEG00000005491.1,10.3673,11.1036,12.4581,11.9776,10.5744,14.1082
ENSAPEG00000005492.1,11.475369,10.91347,14.98615,12.8045,14.00153,10.665379999999999
ENSAPEG00000005493.1,24.0239,29.394,30.3033,10.2622,16.8188,50.8778
ENSAPEG00000005494.1,9.868810000510981,7.383153,8.866075,11.168399999999998,8.90177,10.09479
ENSAPEG00000005495.1,18.784950000000002,18.22479,19.75325,35.408030000000004,14.18937,16.00912
ENSAPEG00000005496.1,5.68023,5.34693,5.78791,5.80169,4.66544,6.21943
ENSAPEG00000005497.1,2.356959,1.334887,2.53206,0,2.034437,1.433911
ENSAPEG00000005498.1,5.3685929,5.3469999999999995,7.58596,5.382810728,6.65895,6.49056
ENSAPEG00000005499.1,25.64769,24.63039,29.15629,16.00517,31.566869999999998,19.14768
ENSAPEG00000005500.1,35.6325,20.93377,46.9037,59.893229999999996,55.044,46.8138
ENSAPEG00000005502.1,5.3893629999999995,8.83225636,16.2197449,8.038078,14.4015221,9.7452064
ENSAPEG00000005503.1,2.3719,3.55546,0,0,2.47299,1.28743
ENSAPEG00000005504.1,12.3943,10.998001,13.1673,9.731069999999999,18.349335,10.197176
ENSAPEG00000005505.1,49.1037,70.8924,66.546,18.3649,45.4431,105.924
ENSAPEG00000005506.1,6.34872,5.518446,4.80706,4.72638,5.12459,7.0130360000000005
ENSAPEG00000005507.1,30.5373,71.9347,35.1254,37.7283,42.1988,54.3401
ENSAPEG00000005508.1,2.99434,75.0638,6.69688,6.34994,6.8695,34.3578
ENSAPEG00000005509.1,0,0.389168,0,0,0.30084,0.268396
ENSAPEG00000005510.1,1.57378,0.951921,0,1.73769,1.60194,1.39729
ENSAPEG00000005511.1,295.2272,356.54511,317.065,423.877,391.05694,420.86983
ENSAPEG00000005512.1,15.59696,9.17058,13.42597,18.3323,15.05031,12.2538
ENSAPEG00000005513.1,29.9729,14.0658,43.9949,40.1847,51.2339,28.5919
ENSAPEG00000005514.1,0.600647,0.708517,1.86283,0,0.140933,0.445701
ENSAPEG00000005515.1,0.620881,0.568616,1.9104,0,0.144289,0.865344
ENSAPEG00000005516.1,6.63217,5.69756,6.17215,5.25816,6.659,7.91364
ENSAPEG00000005517.1,3.99996,3.813009,5.50711,6.31567,5.202478999999999,6.740597999999999
ENSAPEG00000005518.1,19.68187,14.58745,20.1049,19.0952,22.11543,19.873649999999998
ENSAPEG00000005519.1,0,0,0,0,0,0
ENSAPEG00000005520.1,3.14827,3.65919,5.19189,5.5498,4.12257,3.91613
ENSAPEG00000005521.1,0.2460948,1.234096,0.301321,0,0.387829,0.943738
ENSAPEG00000005522.1,0,3.68161,0,0,0.50054,2.73441
ENSAPEG00000005523.1,18.3387,18.6752,17.9769,13.4615,21.294,21.5712
ENSAPEG00000005524.1,0.156675,0.0603139,0,0,0.168108,0.0899706
ENSAPEG00000005525.1,27342.6,29296.7,31436.7,25073.2,28512.4,23208.8
ENSAPEG00000005526.1,0.50307,0,0,0,0.239226,0.336504
ENSAPEG00000005527.1,0.248209,0.221327,0,0,0.204901,0.368986
ENSAPEG00000005528.1,50.2051,62.4314,52.54,59.7441,52.4123,61.5574
ENSAPEG00000005529.1,30.1879,19.3218,32.0892,24.9193,35.6315,27.35
ENSAPEG00000005532.1,19.5486,18.8181,18.4891,22.3004,22.1408,25.5068
ENSAPEG00000005533.1,0,0,0,0,0,0
ENSAPEG00000005534.1,8.70295,6.03506,9.11794,6.60747,7.71173,6.53246
