symbol,gene_id
CRHb,ENSAPEG00000020537
CRHr1a,ENSAPEG00000009118
CRHr1b,ENSAPEG00000003526
CRHr2,ENSAPEG00000001221
POMCaa,ENSAPEG00000007378
POMCab,ENSAPEG00000010741
POMCb,ENSAPEG00000004234
StAR,ENSAPEG00000011532
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
