symbol,gene_id
OpnLw1,ENSAPEG00000023291
Opnsw2B,ENSAPEG00000023305
Opnsw1,ENSAPEG00000024262
Rhodopsin 1,ENSAPEG00000012211
Rhodopsin 1 exo,ENSAPEG00000016240
Rhodopsin 2A ,NA
Rhodopsin 2B ,NA
opnmw1,ENSAPEG00000012915
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
