symbol,gene_id
TG,ENSAPEG00000013372
TPO,ENSAPEG00000017867
Dio1,ENSAPEG00000005345
Dio2,ENSAPEG00000016098
Dio3a,ENSAPEG00000018645
Dio3b,ENSAPEG00000023156
Traa,ENSAPEG00000019490
Trab,NA
TRb,ENSAPEG00000007147
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
